Payment Date,Amount,Organisational Unit
2018-06-01,398.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-01,480.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,120.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,350.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,480.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,20.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,3000.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-06,240.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-06,1500.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-06,700.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-06,8950.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-06,2547.90,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-06,1518.10,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-01,9450.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-01,7.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,2109.12,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,6193.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,2134.44,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,596.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,582.92,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,2054.44,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,552.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,596.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,2054.44,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-21,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-26,1796.84,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,776.36,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-21,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-07,32.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,150.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,150.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,40.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,30.84,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,35.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,18.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,178.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,236.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,225.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,189.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,603.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,63.75,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,186.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,224.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,9.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,26.92,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,50.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-07,28.34,Communities & Service Support (obsolete)-Safer Cleaner Greener
