Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code(T),Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2019-12-02,PATROL,3597610,1054.79,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2019-12-02,PATROL,3597610,52.98,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2019-12-02,PATROL,3597610,61.66,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2019-12-02,PATROL,3597610,38.06,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2019-12-16,ARGYLL GUEST HOUSE,3598804,360.00,Accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2019-12-16,ARGYLL GUEST HOUSE,3598805,1680.00,Accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2019-12-18,ARGYLL GUEST HOUSE,3598843,1015.00,Accommodation
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Supplies & Services,2019-12-23,BANNER GROUP LTD,3597904,13.08,CONSOLIDATED INVOICE
Harrogate Borough Council,Transport,R,Community,Homelessness,Travel,2019-12-02,CORPORATE TRAVEL MANAGEMENT (NORTH) LTD,3595544,132.25,Redacted - Personal Data
Harrogate Borough Council,Transport,R,Community,Homelessness,Travel,2019-12-02,CORPORATE TRAVEL MANAGEMENT (NORTH) LTD,3595544,139.75,Redacted - Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2019-12-16,DACRE SON & HARTLEY,3598784,865.38,Rent and Deposit
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2019-12-16,DACRE SON & HARTLEY,3598784,576.93,Rent and Deposit
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2019-12-16,DAVID SHEPHERD,3598789,508.08,PQ RENT AND DEPOSIT
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2019-12-16,DAVID SHEPHERD,3598789,300.00,PQ RENT AND DEPOSIT
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2019-12-30,HOME GROUP,3599578,438.40,PQ Rent in Advance
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2019-12-23,INCOMMUNITIES,3599354,386.16,PQ Rent in Advance
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2019-12-18,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3598747,675.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2019-12-18,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3598896,675.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2019-12-18,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3598897,675.00,
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2019-12-23,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3599526,684.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2019-12-30,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3599743,630.00,Temporary Staff
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2019-12-30,MARK BOLTON,3599877,150.00,PQ RentDeposit
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2019-12-30,MARK BOLTON,3599877,340.00,PQ RentDeposit
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2019-12-23,MR M J HASSALL,3599320,944.00,PQ Rent Arrears
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2019-12-16,PHILIP KELLETT,3598414,900.00,PQ Rent in advance and cashbond
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2019-12-30,PHILIP KELLETT,3599631,450.00,PQ Rent in advance and cashbond
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2019-12-30,PHILIP KELLETT,3599631,450.00,PQ Rent in advance and cashbond
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,2019-12-11,SHELTER TRAINING,3598313,924.02,Non qualification training
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2019-12-16,SHERRINGTONS SALES AND LETTINGS LTD,3598785,700.00,PQ Rent Bond charge
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2019-12-16,SHERRINGTONS SALES AND LETTINGS LTD,3598785,1050.00,PQ Rent Bond charge
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,2019-12-30,THE NATIONAL PRACTITONER SUPPORT SERVICE LTD,3599726,106.72,Non qualification training
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,2019-12-30,THE NATIONAL PRACTITONER SUPPORT SERVICE LTD,3599726,978.66,Non qualification training
Harrogate Borough Council,Transport,C,Community,Housing Development,Fuel/Oil,2019-12-30,ALLSTAR BUSINESS SOLUTIONS LTD,3598368,651.17,AS60046921
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Protective Clothing,2019-12-23,ARCO LTD,3597487,322.98,
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Waste Disposal Charges,2019-12-18,BIFFA WASTE SERVICES LTD,3597833,450.00,
