Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name(T),Transaction No.,Net Amount,Narrative
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,27/07/2016,S & W SERVICES (YORKSHIRE) LTD,4656876,237,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,20/07/2016,S & W SERVICES (YORKSHIRE) LTD,4656881,294,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,13/07/2016,S & W SERVICES (YORKSHIRE) LTD,4655515,316,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,13/07/2016,S & W SERVICES (YORKSHIRE) LTD,4655512,382.4,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,06/07/2016,S & W SERVICES (YORKSHIRE) LTD,4655946,650,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,18/07/2016,STONEACRE YORK,4657368,403.13,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,TERBERG MATEC UK,4655782,229.36,
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Equipment,04/07/2016,APPLIED SATELLITE TECHNOLOGY SYSTEMS LTD,4656130,"2,014.98",
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Other Supplies & Services,11/07/2016,JAMES FLETCHER MARQUEES,4656364,577,GREAT YORKSHIRE SHOW
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,27/07/2016,BAYDALE CONTROL SYSTEMS LTD,4657337,"2,365.00",Monthly CCTV Upgrade Maintenance for the period of July 16
Harrogate Borough Council,Premises,R,Community,Community Safety,Fire & Secuirty (01/04/16) - prev was Security Systems-Inst & Maint,25/07/2016,BRITISH TELECOMMUNICATIONS PLC,4657523,"17,100.46",CCTV 5326
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Other Supplies & Services,18/07/2016,DISCLOSURE AND BARRING SERVICE,4657113,5,JUNE CHECKS
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,06/07/2016,EFFECTIVE SECURITY SERVICES LTD,4655806,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,06/07/2016,EFFECTIVE SECURITY SERVICES LTD,4656453,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,13/07/2016,EFFECTIVE SECURITY SERVICES LTD,4656979,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,25/07/2016,EFFECTIVE SECURITY SERVICES LTD,4657486,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,27/07/2016,EFFECTIVE SECURITY SERVICES LTD,4657650,283.5,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Service Maintenance Contracts,27/07/2016,GEOTECHNICAL INSTRUMENTS (UK) LTD,4657490,360,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Other Supplies & Services,20/07/2016,KIRKLEES METROPOLITAN COUNCIL,4655799,"2,654.40",
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Laboratory Services,20/07/2016,NORTHUMBRIAN WATER LIMITED (NWL),4657244,"2,127.62",
Harrogate Borough Council,Employees,R,Community,Enviromental Protection,Qualification Training,13/07/2016,RICARDO-AEA LIMITED,4655735,428,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Electricity,27/07/2016,NPOWER NORTHERN LTD,4656475,"2,654.75",Half Night Unmetered
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,18/07/2016,CITY OF YORK COUNCIL,4657354,214.3,NowMedical Training in York on
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,18/07/2016,CITY OF YORK COUNCIL,4657355,347.49,NYHTG admin fee for 201617
Harrogate Borough Council,Employees,R,Community,Homelessness,Non Qualification Training,27/07/2016,CITY OF YORK COUNCIL,4657732,430.63,Universal Credit Training
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,04/07/2016,ECLIPSE PROPERTIES LIMITED,4656241,"1,644.30",REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,04/07/2016,ECLIPSE PROPERTIES LIMITED,4656242,"1,644.30",REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Homelessness,Rents & Wayleaves,04/07/2016,ECLIPSE PROPERTIES LIMITED,4656385,"1,644.30",REDACTED - PERSONAL DATA
Harrogate Borough Council,Transfer Payments,R,Community,Homelessness,Discretionary Housing Payments,04/07/2016,ELET,4656327,"1,050.00",Rent in Advance Payment 
Harrogate Borough Council,Transfer Payments,R,Community,Homelessness,Preventing Repossession Fund,11/07/2016,HARROGATE HOUSING ASSOCIATION,4656597,"1,609.04",REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,27/07/2016,J H WATSON PROPERTY MANAGEMENT,4657792,600,Rent in Advance 
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,18/07/2016,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4657169,708.89,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,04/07/2016,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4656216,835.04,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,13/07/2016,JAMES ANDREW RECRUITMENT SOLUTIONS LTD,4656657,859.07,REDACTED - PERSONAL DATA
