Newcastle City Council Invoices over 500 paid in August 2010
Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778744,Revenue,7119.84
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778747,Revenue,6281.22
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778748,Revenue,6572.17
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778751,Revenue,1095.36
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778752,Revenue,1141.00
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784009,Revenue,547.68
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784010,Revenue,724.54
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784011,Revenue,1004.08
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784014,Revenue,524.86
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784015,Revenue,524.86
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784017,Revenue,1088.60
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784018,Revenue,1038.31
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784021,Revenue,3377.36
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784022,Revenue,2028.11
Adult and Culture,Social Services - Social Care Payments,2010-08-22,AGE CONCERN NEWCASTLE,4784023,Revenue,3491.46
Adult and Culture,Social Services - Social Care Payments,2010-08-11,ALLIED HEALTHCARE GROUP LTD,4772241,Revenue,5843.21
Adult and Culture,Social Services - Social Care Payments,2010-08-30,ALLIED HEALTHCARE GROUP LTD,4792776,Revenue,554.33
Adult and Culture,Social Services - Social Care Payments,2010-08-04,ALMA CARE NEWCASTLE LTD,4765990,Revenue,2398.84
Adult and Culture,Social Services - Social Care Payments,2010-08-26,ARK HOUSE TREATMENT CENTRE,4790036,Revenue,1192.60
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AT HOME IN THE COMMUNITY LTD,4765980,Revenue,955.20
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AT HOME IN THE COMMUNITY LTD,4765982,Revenue,4218.20
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AT HOME IN THE COMMUNITY LTD,4765984,Revenue,620.88
Adult and Culture,Social Services - Social Care Payments,2010-08-11,AT HOME IN THE COMMUNITY LTD,4772243,Revenue,6056.96
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765914,Revenue,1227.04
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765921,Revenue,721.80
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765922,Revenue,932.28
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765925,Revenue,577.44
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765926,Revenue,1443.60
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765927,Revenue,1130.80
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765929,Revenue,1308.37
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765957,Revenue,745.86
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765959,Revenue,1587.96
Adult and Culture,Social Services - Social Care Payments,2010-08-04,AZURE,4765961,Revenue,529.32
