Payment Date,Benificiary Name,Amount
2012-12-11,AUTISM INITIATIVES,6107.52
2012-12-19,AUTISM INITIATIVES,18077.36
2012-12-11,AUTISM NORTH - EASTCLIFFE,9528.20
2012-12-11,AUTISM NORTH SEAHAM VIEW,9484.52
2012-12-30,AUTO ELECTRICAL SOLUTIONS LTD,2340.00
2012-12-30,AUTO ELECTRICAL SOLUTIONS LTD,1151.34
2012-12-09,AUTODIESEL (NEWCASTLE),252.94
2012-12-06,AUTODIESEL (NEWCASTLE),313.90
2012-12-16,AUTOMATICA LTD,1000.00
2012-12-16,AUTOMATICA LTD,1000.00
2012-12-03,AVENUE COMMUNITY NH LTD,1568.00
2012-12-03,AVENUE COMMUNITY NH LTD,434.80
2012-12-03,AVENUE COMMUNITY NH LTD,1568.00
2012-12-03,AVENUE COMMUNITY NH LTD,434.80
2012-12-27,AVM EDUCATION LTD,1185.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,384.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,384.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,224.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,508.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,224.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,264.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,264.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,264.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,264.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,264.00
2012-12-16,AVOR GARAGES (NORTH EAST) LTD,264.00
2012-12-26,AVOR GARAGES (NORTH EAST) LTD,628.00
2012-12-23,AVOR GARAGES (NORTH EAST) LTD,264.00
2012-12-20,AVOR GARAGES (NORTH EAST) LTD,508.00
2012-12-19,AVOR GARAGES (NORTH EAST) LTD,388.00
2012-12-13,AWARDING BODY CONSORTIUM,280.25
2012-12-06,AWARDING BODY CONSORTIUM,250.75
2012-12-06,AWARDING BODY CONSORTIUM,303.75
2012-12-06,AWARDING BODY CONSORTIUM,270.00
2012-12-06,AWARDING BODY CONSORTIUM,405.00
2012-12-24,AWARDING BODY CONSORTIUM,405.00
2012-12-12,AZURE,818.04
2012-12-12,AZURE,1443.60
2012-12-12,AZURE,481.20
2012-12-12,AZURE,384.96
2012-12-12,AZURE,288.72
2012-12-12,AZURE,1010.52
2012-12-12,AZURE,288.72
2012-12-12,AZURE,288.72
2012-12-12,AZURE,336.84
2012-12-12,AZURE,1251.12
2012-12-12,AZURE,769.92
2012-12-12,AZURE,336.84
2012-12-12,AZURE,481.20
2012-12-20,AZURE,866.16
2012-12-10,AZURE,336.84
2012-12-10,AZURE,384.96
2012-12-10,AZURE,1130.82
2012-12-10,AZURE,384.96
2012-12-10,AZURE,288.72
2012-12-10,AZURE,1587.96
2012-12-10,AZURE,986.40
2012-12-10,AZURE,577.44
2012-12-10,AZURE,529.32
2012-12-10,AZURE,288.72
2012-12-10,AZURE,481.20
2012-12-10,AZURE,300.75
2012-12-10,AZURE,1227.06
2012-12-10,AZURE,577.44
2012-12-10,AZURE,601.50
2012-12-10,AZURE,384.96
2012-12-10,AZURE,288.72
2012-12-20,AZURE,10494.12
2012-12-19,AZURE,-2493.80
2012-12-19,AZURE,35725.90
2012-12-10,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-10,AZZURRI COMMUNICATIONS LTD,34.57
2012-12-10,AZZURRI COMMUNICATIONS LTD,19.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,34.16
2012-12-10,AZZURRI COMMUNICATIONS LTD,19.91
2012-12-10,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,85.42
2012-12-10,AZZURRI COMMUNICATIONS LTD,42.00
2012-12-10,AZZURRI COMMUNICATIONS LTD,34.80
2012-12-10,AZZURRI COMMUNICATIONS LTD,18.36
2012-12-10,AZZURRI COMMUNICATIONS LTD,51.39
2012-12-10,AZZURRI COMMUNICATIONS LTD,18.49
2012-12-10,AZZURRI COMMUNICATIONS LTD,111.72
2012-12-10,AZZURRI COMMUNICATIONS LTD,88.14
2012-12-10,AZZURRI COMMUNICATIONS LTD,36.82
2012-12-10,AZZURRI COMMUNICATIONS LTD,13.13
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
